-9479,-320,6193,3639,929,161,1448,-4079,-8711,-8673,-4223,2337,3043,1345,240,-57,-533,-9561,-2808,27,-7001,-5175,3509,4989,1824,-293,-2930,-5943,-1529,585,-683,1441,5247,5463,5559,-722,-3033,-1391,393,1812,-401,3444,410,-3049,1843,-427,780,-4115,-7561,-3214,3324,1625,-3167,-3322,-4204,1493,-5393,3959,-1009,6022,-12564,-8750,-1449,-2084,-4969,-5043,-5650,3039,-2869,-17794,-13273,-2787,5333,-2163,-12453,-4027,-1239,983
-11303,-8583,-4521,-3320,-5337,-9666,-9394,-5956,-7445,-9860,-10585,-6321,-5489,-7060,-6327,-6806,-8823,-11599,-9511,-6729,-10442,-9020,-5107,-4062,-4654,-7071,-7995,-10812,-8067,-9414,-8141,-6195,-5447,-6321,-5863,-8323,-7471,-7624,-8295,-7397,-8202,-7099,-7719,-7813,-7091,-7101,-6677,-7136,-9133,-9281,-8343,-5954,-5662,-7449,-8086,-9551,-10281,-9442,-8347,-8045,-7744,-8090,-7787,-8075,-8251,-8241,-7270,-7807,-8536,-9154,-9348,-9331,-9265,-8745,-7726,-6817,-8165,-8733
3777,4080,4775,6527,-409,3259,6280,5191,4077,8225,3015,-1113,2913,2875,2383,6081,3501,2420,3362,3345,-989,-2007,6533,6279,6778,2287,3566,5113,2183,2208,1401,3469,9930,6537,5481,7397,5886,3238,3345,2628,9044,6340,6617,6087,1845,535,390,6135,4787,3442,3127,8087,5747,6171,3231,1470,4435,4808,1241,2610,5205,2419,4928,4241,711,-402,-705,-4373,1447,1549,2217,2443,5652,3556,1365,609,32,-1539
9422,6156,4580,9702,10664,11116,8685,3804,4345,12720,9983,3367,7309,6855,6262,8559,7773,12258,12797,12091,6426,1138,2683,3990,7214,6779,10152,9302,9482,7271,5323,5176,12472,10158,10423,12234,10450,6893,7208,6621,11618,11001,11239,9961,6327,3921,4615,11859,10451,9181,7521,9951,11705,11131,7836,7682,10407,9301,2937,7104,11110,8224,10917,8307,7124,6303,7148,3613,4359,3471,2982,5917,14860,11274,8861,5299,2020,3902
7573,5379,12226,20577,18352,13173,7479,7583,13731,14897,9535,10335,17647,16227,15725,12533,11803,14581,13592,11210,7879,8404,10694,13300,13568,10209,11109,11685,9206,9415,10743,9231,12609,6933,10334,18332,17168,13007,10557,13183,17687,13225,13900,9704,7754,7959,9578,12876,12539,15405,15069,18679,18303,14036,12329,12354,15677,10417,2411,8455,16807,18773,20639,15719,12818,9495,9980,8613,10781,10174,6011,6330,18627,17915,16549,11209,5647,10263
3667,4087,2525,4302,2699,2715,3259,4238,2077,957,427,3414,2515,2381,2807,3595,5311,5613,-883,-5091,-3226,3935,3923,6245,5915,6911,5253,1362,-593,664,4041,4589,3234,1281,1182,3415,3738,2994,2624,2337,2732,1809,3037,2047,3725,2323,1938,687,3606,5204,3627,361,1443,1903,4013,4544,5662,1039,1273,2247,1121,4216,2992,2651,2077,4087,2482,3065,4457,1787,2280,3783,2151,4521,1669,704,4491,5080
